name	operator	operator_detail	past_names	location	years	status	current_name	website
KIDS of the Canadian West	"KIDS Centers of America
"	Hackensack, NJ | 1984-1999		Calgary, AB, Canada	1990–1991	Municipal	Alberta Adolescent Recovery Centre	
KIDS of El Paso	"KIDS Centers of America
"	Hackensack, NJ | 1984-2000		El Paso, TX	1986–1989	Closed		
KIDS of Greater Salt Lake	"KIDS Centers of America
"	Hackensack, NJ | 1984-2001		Salt Lake City, UT	1988–1990	Closed		
KIDS of Southern California	"KIDS Centers of America
"	Hackensack, NJ | 1984-2002		Yorba Linda, CA	1988–1989	Closed		
Alachua Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Gainesville, FL		FALSE		
Auldern Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Siler City, NC	2009–2021	Three Points Center	Three Points Center	
Bernalillo Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Albuquerque, NM	2009–2021	Closed		
Capital Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Camden, NJ		FALSE		
Casa Grande Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Casa Grande, AZ		Open		
Charles Britt Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		St. Petersburg, FL		Rebranded	Britt Technical Youth Academy	
Clarinda Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Clarinda, IA	1999–2021	Closed		
Columbus Youth Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Tampa, FL		FALSE		
Duval Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Jacksonville, FL		Transferred		
Falcon Ridge Ranch	"Sequel TSI
"	Hunstville, AL | 1999-Present		Virgin, UT		Transferred		
Forest Ridge Youth Services	"Sequel TSI
"	Hunstville, AL | 1999-Present		Gruver, IA		Transferred		
Kingston Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present	Camelot School	Kingston, TN	2009–2019	Closed		
Lakeside Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present			Kalamazoo, MI	Closed		
Lakeside Academy of Kansas	"Sequel TSI
"	Hunstville, AL | 1999-Present		Goddard, KS	2008–2020	Closed		
Lava Heights Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Tocqueville, UT		Transferred		
Lexington Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present	Three Springs of Englishton Park	Lexington, IN	1996–2017	Closed		
Marion Youth Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Ocala, FL	2007-Present	Open		
Mingus Mountain Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Prescott Valley, AZ		Transferred		
Mount Pleasant Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Mount Pleasant, UT	2011–2019	Closed		
Mountain Home Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Mountain Home, ID		Closed		
Normative Services Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Sheridan, WY	2003–2021	Closed		
Norris Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Andersonville, TN		Transferred		
Northern Illinois Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Aurora, IL	2021	Closed		
Palm Beach Youth Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		West Palm Beach, FL		Transferred		
Pompano Youth Treatment Center	"Sequel TSI
"	Hunstville, AL | 1999-Present		Pompano Beach, FL		Transferred		
Red Rock Canyon School	"Sequel TSI
"	Hunstville, AL | 1999-Present		St. George, UT	2016–2019	Closed		
Riverside Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Wichita, KS	2011–2019	Closed		
Rose Rock Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Oklahoma City, OK	2011–2016	Closed		
Sequel Pomegranate Health Systems	"Sequel TSI
"	Hunstville, AL | 1999-Present		Columbus, OH	2016–2021	Closed		
Sequel TSI Courtland	"Sequel TSI
"	Hunstville, AL | 1999-Present		Courtland, AL		Transferred	Pathway of Madison County	
Sequel TSI Kissimmee	"Sequel TSI
"	Hunstville, AL | 1999-Present	Three Springs of Osceola	Kissimmee, FL	2009–2016	Transferred	Kissimmee Youth Academy	
Sequel TSI Madison	"Sequel TSI
"	Hunstville, AL | 1999-Present	Three Springs of Madison	Madison, AL	2009–2019	Closed		
Sequel TSI Montgomery	"Sequel TSI
"	Hunstville, AL | 1999-Present		Montgomery, AL		Transferred	Brighter Path Montgomery	
Sequel TSI North Carolina	"Sequel TSI
"	Hunstville, AL | 1999-Present	Three Springs of North Carolina	Pittsboro, NC	2009–2010	Closed		
Sequel TSI of Tuskegee	"Sequel TSI
"	Hunstville, AL | 1999-Present		Tuskegee, AL		Transferred	Brighter Path Tuskegee	
Sequel TSI Owens Cross Roads	"Sequel TSI
"	Hunstville, AL | 1999-Present	Three Springs Turning Point, Three Springs New Beginnings	Owens Cross Roads, AL		Transferred	Pathway of Madison County	
Sequel TSI Paint Rock Valley	"Sequel TSI
"	Hunstville, AL | 1999-Present		Trenton, AL	2009–2011	Closed		
Sequel TSI Sierra Vista	"Sequel TSI
"	Hunstville, AL | 1999-Present	Three Springs Sierra Vista Schools	Hereford, AZ	2009–2011	Closed		
St. John's Youth Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		St. Augustine, FL		Transferred	St. Augustine Youth Academy	
Starr Albion Prep	"Sequel TSI
"	Hunstville, AL | 1999-Present	Albion Academy	Albion, MI	2014–2020	Transferred		
Union Juvenile Residential Facility	"Sequel TSI
"	Hunstville, AL | 1999-Present		Raiford, FL	2009–2019	Transferred	Redwood Youth Academy	
Woodward Academy	"Sequel TSI
"	Hunstville, AL | 1999-Present		Woodward, IA		Transferred		
Pathway Family Center	"Pathway Family Center
"	1993-2009		Southfield, MI	1993–2009	Closed		
Pathway Family Center	"Pathway Family Center
"	1993-2010		Milford, OH	2006–2008	Closed		
Pathway Family Center	"Pathway Family Center
"	1993-2011		Indianapolis, IN	1993–2009	Closed		
Pathway Family Center	"Pathway Family Center
"	1993-2012		Chesterton, IN	2007–2009	Closed		
Rocky Mountain Academy	CEDU Family of Services	Running Springs, CA | 1967-2005		Bonners Ferry, ID / Naples, ID	1982–2005	Closed		
CEDU High School	CEDU Family of Services	Running Springs, CA | 1967-2006		Running Springs, CA	1967–2005	Closed		
CEDU Middle School	CEDU Family of Services	Running Springs, CA | 1967-2007		Running Springs, CA	1991–2005	Closed		
Boulder Creek Academy	CEDU Family of Services	Running Springs, CA | 1967-2008		Bonners Ferry, ID	1993–2022	Closed		
Northwest Academy	CEDU Family of Services	Running Springs, CA | 1967-2009		Bonners Ferry, ID / Naples, ID	1994–2019	Closed		
Ascent Wilderness Therapy	CEDU Family of Services	Running Springs, CA | 1967-2010		Naples, ID	1994–2005	Closed		
King George School	CEDU Family of Services	Running Springs, CA | 1967-2011		Sutton, VT	1998–2011	Closed		
Three Springs Paint Rock Valley	"Three Springs Inc.
"	Huntsville, AL | 1985-2009		Trenton, AL	1985–2009	Closed		
Three Springs of North Carolina	"Three Springs Inc.
"	Huntsville, AL | 1985-2010		Pittsboro, NC		Closed		
New Beginnings Residential School	"Three Springs Inc.
"	Huntsville, AL | 1985-2011		Owens Cross Roads, AL		Closed		
New Direction	"Three Springs Inc.
"	Huntsville, AL | 1985-2012		Huntsville, AL		Closed		
Three Springs of Blue Ridge	"Three Springs Inc.
"	Huntsville, AL | 1985-2013		Blue Ridge, GA		Closed		
Three Springs of Duck River	"Three Springs Inc.
"	Huntsville, AL | 1985-2014		Centerville, TN		Closed		
New Dominion School of Virginia	"Three Springs Inc.
"	Huntsville, AL | 1985-2015		Dillwyn, VA	1976–2009	Closed		
New Dominion School of Maryland	"Three Springs Inc.
"	Huntsville, AL | 1985-2016		Old Town, MD	1981–2008	Closed		
Jemison Group Home	"Three Springs Inc.
"	Huntsville, AL | 1985-2017		Jemison, AL		Closed		
Three Springs of Courtland	"Three Springs Inc.
"	Huntsville, AL | 1985-2018		Courtland, AL		Transferred	Pathway of Madison County	
Three Springs School of Madison	"Three Springs Inc.
"	Huntsville, AL | 1985-2019		Madison, AL		Closed		
L.E.A.P.S. Program at Duck River	"Three Springs Inc.
"	Huntsville, AL | 1985-2020		Centerville, TN		Closed		
Straight – Atlanta	"Straight Inc.
"	Pinellas Park, FL | 1976-1993		Marietta, GA	1981–1993	Closed		
Straight – Cincinnati	"Straight Inc.
"	Pinellas Park, FL | 1976-1994		Milford, OH	1982–1987	Closed		
Straight – Dallas	"Straight Inc.
"	Pinellas Park, FL | 1976-1995		Richardson, TX / Irving, TX	1986–1991	Closed		
Straight – Orlando	"Straight Inc.
"	Pinellas Park, FL | 1976-1996		Orlando, FL	1985–1992	Closed		
Straight – Detroit	"Straight Inc.
"	Pinellas Park, FL | 1976-1997		Plymouth, MI	1986–1993	Closed		
Straight – Sarasota	"Straight Inc.
"	Pinellas Park, FL | 1976-1998		Sarasota, FL	1980–1983	Closed		
Straight – Greater Washington	"Straight Inc.
"	Pinellas Park, FL | 1976-1999		Springfield, VA	1983–1991	Closed		
Straight – Tampa Bay	"Straight Inc.
"	Pinellas Park, FL | 1976-2000		St. Petersburg, FL	1976–1993	Closed		
Straight – New England	"Straight Inc.
"	Pinellas Park, FL | 1976-2001		Stoughton, MA	1986–1991	Closed		
Straight – Columbia	"Straight Inc.
"	Pinellas Park, FL | 1976-2002		Columbia, MD	1991–1992	Closed		
Straight – Hampton Roads	"Straight Inc.
"	Pinellas Park, FL | 1976-2003		Chesapeake, VA	1989–1991	Closed		
Straight – Yorba Linda	"Straight Inc.
"	Pinellas Park, FL | 1976-2004		Yorba Linda, CA	1989–1990	Closed		
The Brown Schools at San Marcos	"Brown Schools
"	Austin, TX | 1940-2005		"Bert Brown Road
San Marcos, TX 78666"	1940-Present	Transferred	San Marcos Treatment Center	
Cumberland Hospital	"Brown Schools
"	Austin, TX | 1940-2007		"9407 Cumberland Road
New Kent, VA 23124"		Transferred		https://web.archive.org/web/20000816081711/http://www.brownschools.com/services/cumberland.html
Cypress Creek Hospital	"Brown Schools
"	Austin, TX | 1940-2008		"17750 Cali Drive
Houston, TX 77090"		FALSE		
The Brown Schools at Laurel Ridge	"Brown Schools
"	Austin, TX | 1940-2009		17720 Corporate Woods, San Antonio, Texas		Transferred	Laurel Ridge Treatment Center	https://web.archive.org/web/20000816081700/http://www.brownschools.com/services/laurel.html
The Brown Schools Community Living Programs	"Brown Schools
"	Austin, TX | 1940-2010		Austin, TX		FALSE		
The Brown Schools at High Point	"Brown Schools
"	Austin, TX | 1940-2011				FALSE		https://web.archive.org/web/20000816081609/http://www.brownschools.com/services/florida.html
Elaine Gordon Treatment Center	"Brown Schools
"	Austin, TX | 1940-2011		1000 SW 84th Ave Hollywood, FL 33025		FALSE		https://web.archive.org/web/20000816081609/http://www.brownschools.com/services/florida.html
The Brown Schools at Cedar Springs	"Brown Schools
"	Austin, TX | 1940-2011		2135 Southgate Road, Colorado Springs, CO 80906		FALSE		https://web.archive.org/web/20000816081605/http://www.brownschools.com/services/cedar.html
The Brown Schools of Florida	"Brown Schools
"	Austin, TX | 1940-2012		Pembroke Pines, FL		FALSE		https://web.archive.org/web/20000815081233/http://www.brownschools.com/services/florida.html
The Brown Schools of Montana	"Brown Schools
"	Austin, TX | 1940-2013		"91 North Frontage Road
Deer Lodge, MT 5972"		FALSE		https://web.archive.org/web/20000815081233/http://www.brownschools.com/services/montana.html
The Brown Schools Rehabilitation Center	"Brown Schools
"	Austin, TX | 1940-2014	The Ranch	1106 West Dittmar, Austin, TX 78745		FALSE		https://web.archive.org/web/20000816081527/http://www.brownschools.com/services/rehab.html
The Brown Schools of San Juan	"Brown Schools
"	Austin, TX | 1940-2015		Avenida Hipodromo 603, Suite 109-110, Santurce, Puerto Rico		FALSE		https://web.archive.org/web/20000816081527/http://www.brownschools.com/services/sanjuan.html
The Brown Schools at Shadow Mountain	"Brown Schools
"	Austin, TX | 1940-2016		6262 South Sheridan Rd., Tulsa, OK 74133		Transferred		https://web.archive.org/web/20000819173327/http://www.brownschools.com/services/shadow.html
West Oaks Hospital	"Brown Schools
"	Austin, TX | 1940-2017		6500 Hornwood, Houston, TX 77074		Transferred		https://web.archive.org/web/20000816081527/http://www.brownschools.com/services/cypress.html
The Brown Schools of Idaho	"Brown Schools
"	Austin, TX | 1940-2018		Gooding, ID		FALSE		https://web.archive.org/web/20000816081527/http://www.brownschools.com/services/laurel.html
On Track Wilderness Program	"Brown Schools
"	Austin, TX | 1940-2019		Mason, TX		Closed		https://web.archive.org/web/20000816081527/http://www.brownschools.com/services/com_ontrack.html
Hill Country Place	"Brown Schools
"	Austin, TX | 1940-2020		9419 Highway 290 West, Austin, TX 78736		FALSE		https://web.archive.org/web/20000816081625/http://www.brownschools.com/services/com_hill.html
The Brown Schools at the Oaks	"Brown Schools
"	Austin, TX | 1940-2021		1407 West Stassney, Austin, TX 78745		FALSE		https://web.archive.org/web/20000816081527/http://www.brownschools.com/services/theoaks.html
Seguin Community Living Center	"Brown Schools
"	Austin, TX | 1940-2022		1805 Settlers Way, Seguin, TX 78155		FALSE		https://web.archive.org/web/20000819180832/http://www.brownschools.com/services/com_seguin.html
Dallas County Juvenile Detention Center	"Brown Schools
"	Austin, TX | 1940-2023		Dallas County, TX		FALSE		
Letot Center	"Brown Schools
"	Austin, TX | 1940-2024		Dallas County, TX		FALSE		
Youth Village	"Brown Schools
"	Austin, TX | 1940-2025		Dallas County, TX		FALSE		
Ascent Wilderness Therapy	"Brown Schools
"	Austin, TX | 1940-2026				Closed		
Northwest Academy	"Brown Schools
"	Austin, TX | 1940-2027				Closed		https://web.archive.org/web/20000818124303/http://www.cedu.com/boarding/nwacademy.html
Boulder Creek Academy	"Brown Schools
"	Austin, TX | 1940-2028				Closed		https://web.archive.org/web/20001001002144/http://www.cedu.com/boarding/boulder.html
Rocky Mountain Academy	"Brown Schools
"	Austin, TX | 1940-2029				Closed		https://web.archive.org/web/20000818124303/http://www.cedu.com/boarding/rocky.html
CEDU Middle School	"Brown Schools
"	Austin, TX | 1940-2030				Closed		https://web.archive.org/web/20000818124303/http://www.cedu.com/boarding/middle.html
CEDU High School	"Brown Schools
"	Austin, TX | 1940-2031				Closed		https://web.archive.org/web/20000818124303/http://www.cedu.com/boarding/highsc.html
CEDU Family of Services	"Brown Schools
"	Austin, TX | 1940-2032				Closed		
